510, 1652
decrease 10 2
decrease 9 2
decrease 8 2
decrease 7 2
double 6 4
increase 12 2
double 13 8
decrease 26 2
double 25 14
square 50 614
decrease 2500 2
decrease 2499 2
decrease 2498 2
decrease 2497 2
decrease 2496 2
decrease 2495 2
decrease 2494 2
decrease 2493 2
decrease 2492 2
decrease 2491 2
decrease 2490 2
decrease 2489 2
decrease 2488 2
decrease 2487 2
decrease 2486 2
decrease 2485 2
decrease 2484 2
decrease 2483 2
decrease 2482 2
decrease 2481 2
decrease 2480 2
decrease 2479 2
decrease 2478 2
decrease 2477 2
decrease 2476 2
decrease 2475 2
decrease 2474 2
decrease 2473 2
decrease 2472 2
decrease 2471 2
decrease 2470 2
decrease 2469 2
decrease 2468 2
decrease 2467 2
decrease 2466 2
decrease 2465 2
decrease 2464 2
decrease 2463 2
decrease 2462 2
decrease 2461 2
decrease 2460 2
decrease 2459 2
decrease 2458 2
decrease 2457 2
decrease 2456 2
decrease 2455 2
decrease 2454 2
decrease 2453 2
decrease 2452 2
decrease 2451 2
decrease 2450 2
decrease 2449 2
decrease 2448 2
decrease 2447 2
decrease 2446 2
decrease 2445 2
decrease 2444 2
decrease 2443 2
decrease 2442 2
decrease 2441 2
decrease 2440 2
decrease 2439 2
decrease 2438 2
decrease 2437 2
decrease 2436 2
decrease 2435 2
decrease 2434 2
decrease 2433 2
decrease 2432 2
decrease 2431 2
decrease 2430 2
decrease 2429 2
decrease 2428 2
decrease 2427 2
decrease 2426 2
decrease 2425 2
decrease 2424 2
decrease 2423 2
decrease 2422 2
decrease 2421 2
decrease 2420 2
decrease 2419 2
decrease 2418 2
decrease 2417 2
decrease 2416 2
decrease 2415 2
decrease 2414 2
decrease 2413 2
decrease 2412 2
decrease 2411 2
decrease 2410 2
decrease 2409 2
decrease 2408 2
decrease 2407 2
decrease 2406 2
decrease 2405 2
decrease 2404 2
decrease 2403 2
decrease 2402 2
decrease 2401 2
decrease 2400 2
decrease 2399 2
decrease 2398 2
decrease 2397 2
decrease 2396 2
decrease 2395 2
decrease 2394 2
decrease 2393 2
decrease 2392 2
decrease 2391 2
decrease 2390 2
decrease 2389 2
decrease 2388 2
decrease 2387 2
decrease 2386 2
decrease 2385 2
decrease 2384 2
decrease 2383 2
decrease 2382 2
decrease 2381 2
decrease 2380 2
decrease 2379 2
decrease 2378 2
decrease 2377 2
decrease 2376 2
decrease 2375 2
decrease 2374 2
decrease 2373 2
decrease 2372 2
decrease 2371 2
decrease 2370 2
decrease 2369 2
decrease 2368 2
decrease 2367 2
decrease 2366 2
decrease 2365 2
decrease 2364 2
decrease 2363 2
decrease 2362 2
decrease 2361 2
decrease 2360 2
decrease 2359 2
decrease 2358 2
decrease 2357 2
decrease 2356 2
decrease 2355 2
decrease 2354 2
decrease 2353 2
decrease 2352 2
decrease 2351 2
decrease 2350 2
decrease 2349 2
decrease 2348 2
decrease 2347 2
decrease 2346 2
decrease 2345 2
decrease 2344 2
decrease 2343 2
decrease 2342 2
decrease 2341 2
decrease 2340 2
