80, 7636
increase 10 2
increase 11 2
increase 12 2
square 13 40
increase 169 2
increase 170 2
increase 171 2
increase 172 2
square 173 7440
increase 29929 2
increase 29930 2
increase 29931 2
increase 29932 2
increase 29933 2
increase 29934 2
increase 29935 2
increase 29936 2
increase 29937 2
increase 29938 2
increase 29939 2
increase 29940 2
increase 29941 2
increase 29942 2
increase 29943 2
increase 29944 2
increase 29945 2
increase 29946 2
increase 29947 2
increase 29948 2
increase 29949 2
increase 29950 2
increase 29951 2
increase 29952 2
increase 29953 2
increase 29954 2
increase 29955 2
increase 29956 2
increase 29957 2
increase 29958 2
increase 29959 2
increase 29960 2
increase 29961 2
increase 29962 2
increase 29963 2
increase 29964 2
increase 29965 2
increase 29966 2
increase 29967 2
increase 29968 2
increase 29969 2
increase 29970 2
increase 29971 2
increase 29972 2
increase 29973 2
increase 29974 2
increase 29975 2
increase 29976 2
increase 29977 2
increase 29978 2
increase 29979 2
increase 29980 2
increase 29981 2
increase 29982 2
increase 29983 2
increase 29984 2
increase 29985 2
increase 29986 2
increase 29987 2
increase 29988 2
increase 29989 2
increase 29990 2
increase 29991 2
increase 29992 2
increase 29993 2
increase 29994 2
increase 29995 2
increase 29996 2
increase 29997 2
increase 29998 2
increase 29999 2
