41, 15088
decrease 10 2
decrease 9 2
double 8 5
square 16 61
decrease 256 2
decrease 255 2
decrease 254 2
decrease 253 2
decrease 252 2
decrease 251 2
decrease 250 2
decrease 249 2
decrease 248 2
decrease 247 2
decrease 246 2
square 245 14946
decrease 60025 2
decrease 60024 2
decrease 60023 2
decrease 60022 2
decrease 60021 2
decrease 60020 2
decrease 60019 2
decrease 60018 2
decrease 60017 2
decrease 60016 2
decrease 60015 2
decrease 60014 2
decrease 60013 2
decrease 60012 2
decrease 60011 2
decrease 60010 2
decrease 60009 2
decrease 60008 2
decrease 60007 2
decrease 60006 2
decrease 60005 2
decrease 60004 2
decrease 60003 2
decrease 60002 2
decrease 60001 2
