65, 179
decrease 4 2
double 3 3
increase 6 2
double 7 5
square 14 47
increase 196 2
increase 197 2
increase 198 2
increase 199 2
increase 200 2
increase 201 2
increase 202 2
increase 203 2
increase 204 2
increase 205 2
increase 206 2
increase 207 2
increase 208 2
increase 209 2
increase 210 2
increase 211 2
increase 212 2
increase 213 2
increase 214 2
increase 215 2
increase 216 2
increase 217 2
increase 218 2
increase 219 2
increase 220 2
increase 221 2
increase 222 2
increase 223 2
increase 224 2
increase 225 2
increase 226 2
increase 227 2
increase 228 2
increase 229 2
increase 230 2
increase 231 2
increase 232 2
increase 233 2
increase 234 2
increase 235 2
increase 236 2
increase 237 2
increase 238 2
increase 239 2
increase 240 2
increase 241 2
increase 242 2
increase 243 2
increase 244 2
increase 245 2
increase 246 2
increase 247 2
increase 248 2
increase 249 2
increase 250 2
increase 251 2
increase 252 2
increase 253 2
increase 254 2
increase 255 2
