33, 325
half 50 14
increase 25 2
increase 26 2
increase 27 2
increase 28 2
increase 29 2
increase 30 2
increase 31 2
square 32 249
decrease 1024 2
decrease 1023 2
decrease 1022 2
decrease 1021 2
decrease 1020 2
decrease 1019 2
decrease 1018 2
decrease 1017 2
decrease 1016 2
decrease 1015 2
decrease 1014 2
decrease 1013 2
decrease 1012 2
decrease 1011 2
decrease 1010 2
decrease 1009 2
decrease 1008 2
decrease 1007 2
decrease 1006 2
decrease 1005 2
decrease 1004 2
decrease 1003 2
decrease 1002 2
decrease 1001 2
