9998, 19996
decrease 10000 2
decrease 9999 2
decrease 9998 2
decrease 9997 2
decrease 9996 2
decrease 9995 2
decrease 9994 2
decrease 9993 2
decrease 9992 2
decrease 9991 2
decrease 9990 2
decrease 9989 2
decrease 9988 2
decrease 9987 2
decrease 9986 2
decrease 9985 2
decrease 9984 2
decrease 9983 2
decrease 9982 2
decrease 9981 2
decrease 9980 2
decrease 9979 2
decrease 9978 2
decrease 9977 2
decrease 9976 2
decrease 9975 2
decrease 9974 2
decrease 9973 2
decrease 9972 2
decrease 9971 2
decrease 9970 2
decrease 9969 2
decrease 9968 2
decrease 9967 2
decrease 9966 2
decrease 9965 2
decrease 9964 2
decrease 9963 2
decrease 9962 2
decrease 9961 2
decrease 9960 2
decrease 9959 2
decrease 9958 2
decrease 9957 2
decrease 9956 2
decrease 9955 2
decrease 9954 2
decrease 9953 2
decrease 9952 2
decrease 9951 2
decrease 9950 2
decrease 9949 2
decrease 9948 2
decrease 9947 2
decrease 9946 2
decrease 9945 2
decrease 9944 2
decrease 9943 2
decrease 9942 2
decrease 9941 2
decrease 9940 2
decrease 9939 2
decrease 9938 2
decrease 9937 2
decrease 9936 2
decrease 9935 2
decrease 9934 2
decrease 9933 2
decrease 9932 2
decrease 9931 2
decrease 9930 2
decrease 9929 2
decrease 9928 2
decrease 9927 2
decrease 9926 2
decrease 9925 2
decrease 9924 2
decrease 9923 2
decrease 9922 2
decrease 9921 2
decrease 9920 2
decrease 9919 2
decrease 9918 2
decrease 9917 2
decrease 9916 2
decrease 9915 2
decrease 9914 2
decrease 9913 2
decrease 9912 2
decrease 9911 2
decrease 9910 2
decrease 9909 2
decrease 9908 2
decrease 9907 2
decrease 9906 2
decrease 9905 2
decrease 9904 2
decrease 9903 2
decrease 9902 2
decrease 9901 2
decrease 9900 2
decrease 9899 2
decrease 9898 2
decrease 9897 2
decrease 9896 2
decrease 9895 2
decrease 9894 2
decrease 9893 2
decrease 9892 2
decrease 9891 2
decrease 9890 2
decrease 9889 2
decrease 9888 2
decrease 9887 2
decrease 9886 2
decrease 9885 2
decrease 9884 2
decrease 9883 2
decrease 9882 2
decrease 9881 2
decrease 9880 2
decrease 9879 2
decrease 9878 2
decrease 9877 2
decrease 9876 2
decrease 9875 2
decrease 9874 2
decrease 9873 2
decrease 9872 2
decrease 9871 2
decrease 9870 2
decrease 9869 2
decrease 9868 2
decrease 9867 2
decrease 9866 2
decrease 9865 2
decrease 9864 2
decrease 9863 2
decrease 9862 2
decrease 9861 2
decrease 9860 2
decrease 9859 2
decrease 9858 2
decrease 9857 2
decrease 9856 2
decrease 9855 2
decrease 9854 2
decrease 9853 2
decrease 9852 2
decrease 9851 2
decrease 9850 2
decrease 9849 2
decrease 9848 2
decrease 9847 2
decrease 9846 2
decrease 9845 2
decrease 9844 2
decrease 9843 2
decrease 9842 2
decrease 9841 2
decrease 9840 2
decrease 9839 2
decrease 9838 2
decrease 9837 2
decrease 9836 2
decrease 9835 2
decrease 9834 2
decrease 9833 2
decrease 9832 2
decrease 9831 2
decrease 9830 2
decrease 9829 2
decrease 9828 2
decrease 9827 2
decrease 9826 2
decrease 9825 2
decrease 9824 2
decrease 9823 2
decrease 9822 2
decrease 9821 2
decrease 9820 2
decrease 9819 2
decrease 9818 2
decrease 9817 2
decrease 9816 2
decrease 9815 2
decrease 9814 2
decrease 9813 2
decrease 9812 2
decrease 9811 2
decrease 9810 2
decrease 9809 2
decrease 9808 2
decrease 9807 2
decrease 9806 2
decrease 9805 2
decrease 9804 2
decrease 9803 2
decrease 9802 2
decrease 9801 2
decrease 9800 2
decrease 9799 2
decrease 9798 2
decrease 9797 2
decrease 9796 2
decrease 9795 2
decrease 9794 2
decrease 9793 2
decrease 9792 2
decrease 9791 2
decrease 9790 2
decrease 9789 2
decrease 9788 2
decrease 9787 2
decrease 9786 2
decrease 9785 2
decrease 9784 2
decrease 9783 2
decrease 9782 2
decrease 9781 2
decrease 9780 2
decrease 9779 2
decrease 9778 2
decrease 9777 2
decrease 9776 2
decrease 9775 2
decrease 9774 2
decrease 9773 2
decrease 9772 2
decrease 9771 2
decrease 9770 2
decrease 9769 2
decrease 9768 2
decrease 9767 2
decrease 9766 2
decrease 9765 2
decrease 9764 2
decrease 9763 2
decrease 9762 2
decrease 9761 2
decrease 9760 2
decrease 9759 2
decrease 9758 2
decrease 9757 2
decrease 9756 2
decrease 9755 2
decrease 9754 2
decrease 9753 2
decrease 9752 2
decrease 9751 2
decrease 9750 2
decrease 9749 2
decrease 9748 2
decrease 9747 2
decrease 9746 2
decrease 9745 2
decrease 9744 2
decrease 9743 2
decrease 9742 2
decrease 9741 2
decrease 9740 2
decrease 9739 2
decrease 9738 2
decrease 9737 2
decrease 9736 2
decrease 9735 2
decrease 9734 2
decrease 9733 2
decrease 9732 2
decrease 9731 2
decrease 9730 2
decrease 9729 2
decrease 9728 2
decrease 9727 2
decrease 9726 2
decrease 9725 2
decrease 9724 2
decrease 9723 2
decrease 9722 2
decrease 9721 2
decrease 9720 2
decrease 9719 2
decrease 9718 2
decrease 9717 2
decrease 9716 2
decrease 9715 2
decrease 9714 2
decrease 9713 2
decrease 9712 2
decrease 9711 2
decrease 9710 2
decrease 9709 2
decrease 9708 2
decrease 9707 2
decrease 9706 2
decrease 9705 2
decrease 9704 2
decrease 9703 2
decrease 9702 2
decrease 9701 2
decrease 9700 2
decrease 9699 2
decrease 9698 2
decrease 9697 2
decrease 9696 2
decrease 9695 2
decrease 9694 2
decrease 9693 2
decrease 9692 2
decrease 9691 2
decrease 9690 2
decrease 9689 2
decrease 9688 2
decrease 9687 2
decrease 9686 2
decrease 9685 2
decrease 9684 2
decrease 9683 2
decrease 9682 2
decrease 9681 2
decrease 9680 2
decrease 9679 2
decrease 9678 2
decrease 9677 2
decrease 9676 2
decrease 9675 2
decrease 9674 2
decrease 9673 2
decrease 9672 2
decrease 9671 2
decrease 9670 2
decrease 9669 2
decrease 9668 2
decrease 9667 2
decrease 9666 2
decrease 9665 2
decrease 9664 2
decrease 9663 2
decrease 9662 2
decrease 9661 2
decrease 9660 2
decrease 9659 2
decrease 9658 2
decrease 9657 2
decrease 9656 2
decrease 9655 2
decrease 9654 2
decrease 9653 2
decrease 9652 2
decrease 9651 2
decrease 9650 2
decrease 9649 2
decrease 9648 2
decrease 9647 2
decrease 9646 2
decrease 9645 2
decrease 9644 2
decrease 9643 2
decrease 9642 2
decrease 9641 2
decrease 9640 2
decrease 9639 2
decrease 9638 2
decrease 9637 2
decrease 9636 2
decrease 9635 2
decrease 9634 2
decrease 9633 2
decrease 9632 2
decrease 9631 2
decrease 9630 2
decrease 9629 2
decrease 9628 2
decrease 9627 2
decrease 9626 2
decrease 9625 2
decrease 9624 2
decrease 9623 2
decrease 9622 2
decrease 9621 2
decrease 9620 2
decrease 9619 2
decrease 9618 2
decrease 9617 2
decrease 9616 2
decrease 9615 2
decrease 9614 2
decrease 9613 2
decrease 9612 2
decrease 9611 2
decrease 9610 2
decrease 9609 2
decrease 9608 2
decrease 9607 2
decrease 9606 2
decrease 9605 2
decrease 9604 2
decrease 9603 2
decrease 9602 2
decrease 9601 2
decrease 9600 2
decrease 9599 2
decrease 9598 2
decrease 9597 2
decrease 9596 2
decrease 9595 2
decrease 9594 2
decrease 9593 2
decrease 9592 2
decrease 9591 2
decrease 9590 2
decrease 9589 2
decrease 9588 2
decrease 9587 2
decrease 9586 2
decrease 9585 2
decrease 9584 2
decrease 9583 2
decrease 9582 2
decrease 9581 2
decrease 9580 2
decrease 9579 2
decrease 9578 2
decrease 9577 2
decrease 9576 2
decrease 9575 2
decrease 9574 2
decrease 9573 2
decrease 9572 2
decrease 9571 2
decrease 9570 2
decrease 9569 2
decrease 9568 2
decrease 9567 2
decrease 9566 2
decrease 9565 2
decrease 9564 2
decrease 9563 2
decrease 9562 2
decrease 9561 2
decrease 9560 2
decrease 9559 2
decrease 9558 2
decrease 9557 2
decrease 9556 2
decrease 9555 2
decrease 9554 2
decrease 9553 2
decrease 9552 2
decrease 9551 2
decrease 9550 2
decrease 9549 2
decrease 9548 2
decrease 9547 2
decrease 9546 2
decrease 9545 2
decrease 9544 2
decrease 9543 2
decrease 9542 2
decrease 9541 2
decrease 9540 2
decrease 9539 2
decrease 9538 2
decrease 9537 2
decrease 9536 2
decrease 9535 2
decrease 9534 2
decrease 9533 2
decrease 9532 2
decrease 9531 2
decrease 9530 2
decrease 9529 2
decrease 9528 2
decrease 9527 2
decrease 9526 2
decrease 9525 2
decrease 9524 2
decrease 9523 2
decrease 9522 2
decrease 9521 2
decrease 9520 2
decrease 9519 2
decrease 9518 2
decrease 9517 2
decrease 9516 2
decrease 9515 2
decrease 9514 2
decrease 9513 2
decrease 9512 2
decrease 9511 2
decrease 9510 2
decrease 9509 2
decrease 9508 2
decrease 9507 2
decrease 9506 2
decrease 9505 2
decrease 9504 2
decrease 9503 2
decrease 9502 2
decrease 9501 2
decrease 9500 2
decrease 9499 2
decrease 9498 2
decrease 9497 2
decrease 9496 2
decrease 9495 2
decrease 9494 2
decrease 9493 2
decrease 9492 2
decrease 9491 2
decrease 9490 2
decrease 9489 2
decrease 9488 2
decrease 9487 2
decrease 9486 2
decrease 9485 2
decrease 9484 2
decrease 9483 2
decrease 9482 2
decrease 9481 2
decrease 9480 2
decrease 9479 2
decrease 9478 2
decrease 9477 2
decrease 9476 2
decrease 9475 2
decrease 9474 2
decrease 9473 2
decrease 9472 2
decrease 9471 2
decrease 9470 2
decrease 9469 2
decrease 9468 2
decrease 9467 2
decrease 9466 2
decrease 9465 2
decrease 9464 2
decrease 9463 2
decrease 9462 2
decrease 9461 2
decrease 9460 2
decrease 9459 2
decrease 9458 2
decrease 9457 2
decrease 9456 2
decrease 9455 2
decrease 9454 2
decrease 9453 2
decrease 9452 2
decrease 9451 2
decrease 9450 2
decrease 9449 2
decrease 9448 2
decrease 9447 2
decrease 9446 2
decrease 9445 2
decrease 9444 2
decrease 9443 2
decrease 9442 2
decrease 9441 2
decrease 9440 2
decrease 9439 2
decrease 9438 2
decrease 9437 2
decrease 9436 2
decrease 9435 2
decrease 9434 2
decrease 9433 2
decrease 9432 2
decrease 9431 2
decrease 9430 2
decrease 9429 2
decrease 9428 2
decrease 9427 2
decrease 9426 2
decrease 9425 2
decrease 9424 2
decrease 9423 2
decrease 9422 2
decrease 9421 2
decrease 9420 2
decrease 9419 2
decrease 9418 2
decrease 9417 2
decrease 9416 2
decrease 9415 2
decrease 9414 2
decrease 9413 2
decrease 9412 2
decrease 9411 2
decrease 9410 2
decrease 9409 2
decrease 9408 2
decrease 9407 2
decrease 9406 2
decrease 9405 2
decrease 9404 2
decrease 9403 2
decrease 9402 2
decrease 9401 2
decrease 9400 2
decrease 9399 2
decrease 9398 2
decrease 9397 2
decrease 9396 2
